scene_no,scene_sentence_no,story
scene_1,1,옛날 옛적에 서울에 사는 소년 현우가 있었어요.
scene_1,2,현우는 매년 크리스마스를 기다리며 산타 할아버지의 선물을 꿈꿨답니다.
scene_1,3,"어느 날, 현우는 방 안에서 놀다가 특별한 요정을 만났어요."
scene_1,4,"'안녕, 나는 크리스마스 요정이에요!' 요정이 밝게 웃으며 인사했어요."
scene_1,5,"'요정님, 산타 할아버지의 선물을 어떻게 받을 수 있을까요?' 현우가 물었답니다."
scene_1,6,요정은 '산타 할아버지를 도와주면 선물을 받을 수 있어요!'라고 대답했어요.
scene_2,1,현우는 요정의 말을 듣고 산타 할아버지를 도와주기로 결심했어요.
scene_2,2,'어떻게 도와줄 수 있을까요?' 현우가 다시 물었답니다.
scene_2,3,요정은 '산타 할아버지가 필요한 선물을 모아야 해요!'라고 설명했어요.
scene_2,4,현우는 요정과 함께 선물을 모으기 위해 산타 마을로 갔답니다.
scene_2,5,그곳은 크리스마스를 준비하는 엘프들로 가득했어요.
scene_2,6,"'우와, 정말 신기해요!' 현우는 감탄하며 외쳤답니다."
scene_3,1,하지만 갑자기 눈보라가 불어닥치고 마을이 혼란에 빠졌어요.
scene_3,2,'이럴 수가! 선물들이 사라질 위험이 있어요!' 요정이 걱정했어요.
scene_3,3,현우는 '우리가 선물을 지켜야 해요!'라고 다짐했답니다.
scene_3,4,두 친구는 눈보라 속에서 선물들을 찾기 시작했어요.
scene_3,5,'여기 있어요! 이쪽으로 와요!' 현우가 소리쳤답니다.
scene_3,6,요정과 현우는 함께 힘을 합쳐 선물들을 안전하게 모았어요.
scene_4,1,"마침내 눈보라가 잦아들고, 선물들이 무사히 모였답니다."
scene_4,2,'우리가 해냈어요!' 두 친구는 기뻐하며 외쳤어요.
scene_4,3,그때 산타 할아버지가 나타나셨답니다.
scene_4,4,"'고맙다, 친구들! 너희 덕분에 크리스마스를 지킬 수 있었단다.'"
scene_4,5,"현우는 '산타 할아버지, 저희는 선물을 받고 싶어요!'라고 말했어요."
scene_4,6,산타 할아버지는 웃으며 '너희의 용감한 마음이 최고의 선물이다!'라고 하셨어요.
scene_5,1,결국 현우와 요정은 크리스마스의 진정한 의미를 깨달았어요.
scene_5,2,'선물보다 더 중요한 것은 서로를 도와주는 거야!' 요정이 말했어요.
scene_5,3,현우는 '맞아요! 친구와 함께 하는 것이 가장 소중해요.'라고 대답했답니다.
scene_5,4,그리고 두 친구는 함께 크리스마스를 축하했어요.
scene_5,5,"그날 이후, 현우는 매년 크리스마스를 더 소중히 여겼답니다."
scene_5,6,현우는 앞으로 친구를 소중히 대해야겠다고 생각했어요.
